,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
55,Ḩasanābād,0,IR,1592463105,14,36.55,61.05,91.4,4.7
56,Aklavik,75,CA,1592463105,67,68.22,-135.01,60.8,5.82
57,Yellowknife,20,CA,1592463105,57,62.46,-114.35,55.0,6.93
58,Chui,100,UY,1592463064,72,-33.7,-53.46,69.76,18.84
59,Lüderitz,0,NA,1592463094,16,-26.65,15.16,75.2,20.8
60,Iqaluit,90,CA,1592463107,74,63.75,-68.51,37.4,14.99
61,Samos,20,GR,1592463107,78,37.76,26.98,71.6,3.36
62,Saint George,1,US,1592462920,15,37.1,-113.58,77.0,18.34
63,Nyurba,100,RU,1592463037,79,63.28,118.33,61.7,1.19
64,Río de Jesús,86,PA,1592463108,92,7.98,-81.16,75.87,1.5
65,Thompson,90,CA,1592463078,93,55.74,-97.86,39.2,14.99
66,Pisco,75,PE,1592463108,87,-13.7,-76.22,60.8,5.82
67,Ahipara,66,NZ,1592463109,81,-35.17,173.17,55.71,8.3
68,Padang,83,ID,1592463109,72,-0.95,100.35,84.24,4.27
69,Oussouye,40,SN,1592463110,83,12.48,-16.55,82.4,6.93
70,Baykit,0,RU,1592463110,28,61.67,96.37,75.02,10.87
71,Kapaa,90,US,1592463110,78,22.08,-159.32,78.8,18.34
72,Athens,0,GR,1592462850,47,37.98,23.72,78.8,6.91
73,Copainalá,100,MX,1592463111,86,17.08,-93.2,72.41,1.07
74,Erice,20,IT,1592463111,77,38.04,12.59,75.99,2.24
75,Imeni Babushkina,0,RU,1592463111,38,59.76,43.13,65.8,5.32
76,Thunder Bay,5,CA,1592463076,87,48.4,-89.32,55.4,4.7
77,Hamilton,75,US,1592463112,87,39.18,-84.53,64.99,2.86
78,Águas Formosas,57,BR,1592463112,93,-17.08,-40.94,59.9,2.39
79,Arawa,24,PG,1592463113,80,-6.21,155.54,81.54,2.44
80,Husavik,100,IS,1592463113,76,66.04,-17.34,48.2,6.93
81,Vitim,84,RU,1592463113,75,59.45,112.56,60.82,5.44
82,Carnarvon,90,AU,1592463114,60,-24.87,113.63,73.4,13.87
83,Punta Arenas,0,CL,1592463114,92,-53.15,-70.92,28.4,2.55
84,Bredasdorp,0,ZA,1592463114,80,-34.53,20.04,41.0,5.82
85,Jardim,0,BR,1592463114,70,-21.48,-56.14,67.96,7.63
86,Qaanaaq,98,GL,1592463115,95,77.48,-69.36,29.17,1.3
87,Cootamundra,0,AU,1592463115,71,-34.65,148.03,57.99,1.01
88,Bud,1,US,1592463115,64,39.45,-86.18,69.01,3.38
89,New Norfolk,100,AU,1592463116,77,-42.78,147.06,44.01,2.1
90,Ñuñoa,32,PE,1592463116,67,-14.48,-70.64,39.52,1.72
91,Olafsvik,100,IS,1592463116,78,64.89,-23.71,48.16,17.6
92,Bethel,90,US,1592463116,93,41.37,-73.41,64.4,1.16
93,Faanui,100,PF,1592463117,77,-16.48,-151.75,81.27,2.71
94,Weligama,77,LK,1592463117,72,5.97,80.42,85.77,11.45
95,Poya,98,NC,1592463117,82,-21.35,165.15,72.3,7.23
96,Hobart,75,AU,1592463062,81,-42.88,147.33,44.6,4.7
97,Tiksi,100,RU,1592463118,48,71.69,128.87,58.55,5.32
98,Avarua,0,CK,1592463119,64,-21.21,-159.78,71.6,6.93
99,George Town,20,MY,1592463092,62,5.41,100.34,89.6,9.17
100,Nānākuli,1,US,1592463119,61,21.39,-158.15,78.8,8.05
101,Sistranda,40,NO,1592463119,82,63.73,8.83,59.0,8.05
102,Terney,54,RU,1592463120,74,45.05,136.61,55.06,5.97
103,Tsaratanana,89,MG,1592463120,44,-16.78,47.65,73.31,19.06
104,Cherskiy,4,RU,1592463120,31,68.75,161.3,77.05,10.87
105,Yar-Sale,100,RU,1592463121,53,66.83,70.83,46.29,16.13
106,Tokmak,8,UA,1592463121,45,47.25,35.71,81.81,10.78
107,Mapiri,23,BO,1592463121,86,-15.25,-68.17,62.64,1.21
108,Mount Darwin,54,ZW,1592463122,65,-16.77,31.58,58.66,5.06
109,Manaure,45,CO,1592463122,77,11.78,-72.44,80.71,12.44
110,Tasiilaq,100,GL,1592463122,80,65.61,-37.64,39.2,23.04
111,Pevek,90,RU,1592463122,67,69.7,170.31,42.39,12.15
112,Korla,62,CN,1592463123,12,41.76,86.15,92.39,8.43
113,Belūr,100,IN,1592463123,81,13.17,75.87,71.6,11.77
114,Saint Paul Harbor,90,US,1592463123,87,57.79,-152.41,50.0,13.87
115,Bubaque,13,GW,1592463123,82,11.28,-15.83,80.55,6.78
116,Broken Hill,0,AU,1592462923,39,-31.95,141.43,62.6,11.41
117,Meulaboh,98,ID,1592463124,63,4.14,96.13,85.46,3.22
118,Brae,90,GB,1592463124,100,60.4,-1.35,51.8,3.36
119,Tuatapere,0,NZ,1592463004,83,-46.13,167.68,39.0,3.0
120,Souillac,75,MU,1592463089,73,-20.52,57.52,73.4,17.22
121,Shiyan,0,CN,1592463125,37,32.65,110.78,90.41,3.02
122,Shache,31,CN,1592463083,13,38.42,77.24,90.77,1.07
123,Turukhansk,100,RU,1592463126,91,65.82,87.98,43.32,13.2
124,Straumen,20,NO,1592463126,77,63.87,11.3,64.4,5.82
125,Ubari,0,LY,1592463126,14,26.59,12.78,83.88,19.77
126,Bambous Virieux,75,MU,1592463127,73,-20.34,57.76,73.4,17.22
127,Hithadhoo,84,MV,1592463127,78,-0.6,73.08,83.89,11.68
128,Port Hedland,0,AU,1592463127,32,-20.32,118.57,84.2,10.29
129,Neiafu,20,TO,1592463127,69,-18.65,-173.98,73.4,8.05
130,Monterey,0,US,1592463128,35,36.25,-121.25,64.99,4.7
131,Ngunguru,6,NZ,1592463128,95,-35.62,174.5,52.0,1.99
132,Kishtwār,38,IN,1592463129,16,33.32,75.77,85.82,4.97
133,Egvekinot,99,RU,1592463129,32,66.32,-179.17,61.48,2.53
134,Ushtobe,0,KZ,1592463129,27,45.25,77.98,78.15,15.21
135,Ayan,84,RU,1592463129,92,56.45,138.17,44.04,2.62
136,Hong Kong,0,HK,1592462913,59,22.29,114.16,89.01,13.0
137,La Ronge,75,CA,1592463130,66,55.1,-105.28,48.2,13.87
138,Norman Wells,40,CA,1592463130,55,65.28,-126.83,66.2,4.7
139,Abu Samrah,0,SY,1592463130,19,35.3,37.18,87.91,15.1
140,Camaná,91,PE,1592463131,81,-16.62,-72.71,62.06,10.58
141,Gachsaran,0,IR,1592463131,16,30.36,50.8,100.4,7.67
142,Natá,99,PA,1592463131,92,8.33,-80.52,73.99,2.82
143,Gushikawa,20,JP,1592463132,79,26.35,127.87,89.6,20.8
144,Nanortalik,3,GL,1592463132,86,60.14,-45.24,37.29,6.82
145,Hambantota,40,LK,1592463132,53,6.12,81.12,95.0,12.75
146,Westport,90,US,1592463133,93,41.14,-73.36,64.4,3.36
147,Fort Nelson,47,CA,1592463133,86,58.81,-122.7,55.4,4.03
148,Gladstone,75,AU,1592463133,38,-23.85,151.25,73.4,11.41
149,Businga,100,CD,1592463133,90,3.33,20.88,73.67,0.83
150,Katete,1,UG,1592463134,55,-0.78,29.75,73.99,1.9
151,Thinadhoo,100,MV,1592462944,72,0.53,72.93,84.25,6.17
152,Ciudad Bolivar,100,VE,1592463134,83,8.12,-63.55,78.1,8.77
153,College,75,US,1592463134,35,64.86,-147.8,71.6,5.82
154,Beloha,1,MG,1592463135,52,-25.17,45.05,70.54,14.61
155,Rezh,30,RU,1592463135,37,57.37,61.4,58.28,10.16
156,Sitka,90,US,1592463135,87,57.05,-135.33,51.8,10.29
157,Kavaratti,90,IN,1592463135,79,10.57,72.64,86.0,6.93
158,Portland,1,US,1592462893,67,45.52,-122.68,61.0,8.05
159,Balsas,0,BR,1592463136,75,-7.53,-46.04,69.62,4.07
160,Ustikolina,20,BA,1592463122,72,43.58,18.79,66.2,2.24
161,Albion,1,US,1592463076,77,42.24,-84.75,60.8,5.53
162,Saint Anthony,1,US,1592463137,44,45.02,-93.22,75.2,12.75
163,Cabcaben,40,PH,1592463137,63,14.45,120.59,95.0,3.36
164,Stromness,90,GB,1592462846,100,58.97,-3.3,54.0,4.7
165,Arrecife,20,ES,1592463137,78,28.96,-13.55,71.6,3.36
166,Arraial do Cabo,0,BR,1592462877,77,-22.97,-42.03,69.33,18.19
167,Bluff,16,NZ,1592463138,83,-46.6,168.33,39.0,3.0
168,Palmerston,0,AU,1592463139,35,-12.49,130.98,89.6,14.99
169,Bandundu Province,2,CD,1592463139,48,-3.32,17.37,77.38,1.79
170,Shingū,75,JP,1592463139,100,33.73,135.98,64.4,2.24
171,Ligayan,100,PH,1592463140,65,4.65,119.47,85.53,4.81
172,Mungaoli,0,IN,1592463140,25,24.42,78.1,104.81,16.64
173,Longyan,100,CN,1592463140,51,25.11,117.02,90.84,9.06
174,Verkhnevilyuysk,39,RU,1592463141,61,63.45,120.32,69.06,7.05
175,Vangaindrano,98,MG,1592463141,87,-23.35,47.6,64.78,2.73
176,Namatanai,12,PG,1592463141,74,-3.67,152.43,83.19,8.61
177,Lodja,96,CD,1592463142,40,-3.48,23.43,73.85,3.65
178,Aswān,0,EG,1592463142,20,24.09,32.91,97.74,20.09
179,Tingo María,90,PE,1592463142,83,-9.29,-76.01,70.14,0.25
180,Khani,14,GE,1592463143,45,41.96,42.96,86.0,12.75
181,Galle,97,LK,1592463144,77,6.04,80.22,84.61,11.34
182,Pangnirtung,35,CA,1592463144,91,66.15,-65.71,32.92,1.36
183,Naze,75,JP,1592463144,84,28.37,129.48,86.0,16.11
184,Itanhaém,0,BR,1592463145,82,-24.18,-46.79,66.99,3.36
185,Tual,0,ID,1592463145,84,-5.67,132.75,81.09,16.96
186,Springfield,1,US,1592463136,73,37.22,-93.3,70.0,9.17
187,Calama,0,CL,1592463145,26,-22.47,-68.93,46.4,19.46
188,Atar,0,MR,1592463146,28,20.52,-13.05,88.72,12.82
189,Castro,100,BR,1592463069,95,-24.79,-50.01,54.72,6.2
190,Ponta do Sol,20,PT,1592463146,72,32.67,-17.1,68.0,12.75
191,Mīzan Teferī,100,ET,1592463146,90,6.98,35.58,66.9,1.59
192,Tuktoyaktuk,57,CA,1592463147,87,69.45,-133.04,39.29,8.97
193,Nianzishan,9,CN,1592463147,40,47.52,122.88,74.73,6.13
194,Khambi-Irze,75,RU,1592463147,88,43.23,45.45,71.6,2.24
195,Atuona,15,PF,1592463148,74,-9.8,-139.03,80.55,13.62
196,Kutum,27,SD,1592463149,42,14.2,24.67,82.36,13.96
197,Boyuibe,37,BO,1592463150,84,-20.42,-63.28,60.44,4.72
198,Dinagat,100,PH,1592463150,71,9.96,125.59,84.43,5.19
199,Cidreira,100,BR,1592463150,85,-30.18,-50.21,62.69,8.95
200,Antofagasta,75,CL,1592463151,93,-23.65,-70.4,57.2,18.34
201,Asău,93,RO,1592463151,86,46.43,26.4,63.0,3.33
202,Dandong,88,CN,1592463152,49,40.13,124.39,83.34,5.44
203,Nantucket,90,US,1592463149,95,41.28,-70.1,57.2,8.14
204,Ponta Delgada,75,PT,1592463153,77,37.73,-25.67,62.6,4.7
205,Dongsheng,0,CN,1592463153,17,39.82,109.98,82.51,8.05
206,Opuwo,0,NA,1592463153,44,-18.06,13.84,59.59,15.88
207,Tazovsky,29,RU,1592463154,60,67.47,78.7,43.34,10.16
208,São Filipe,0,CV,1592463154,70,14.9,-24.5,77.56,4.9
209,Kochki,47,RU,1592463154,50,54.34,80.48,70.54,7.65
210,Along,100,IN,1592463155,90,28.17,94.77,75.58,0.54
211,Pringsewu,38,ID,1592463155,66,-5.36,104.97,87.03,2.17
212,Manturovo,0,RU,1592463155,41,58.34,44.76,65.53,6.46
213,Linares,100,CL,1592463050,83,-35.85,-71.6,50.23,8.12
214,Severnoye,100,RU,1592463156,94,56.35,78.36,55.98,11.5
215,Rock Sound,100,BS,1592463156,85,24.9,-76.2,80.8,13.8
216,Guerrero Negro,0,MX,1592463156,88,27.98,-114.06,62.35,13.69
217,Baruun-Urt,0,MN,1592463156,27,46.68,113.28,78.93,3.24
218,Pau Brasil,72,BR,1592463157,96,-15.46,-39.65,62.67,2.28
219,Geraldton,40,AU,1592463157,52,-28.77,114.6,66.2,12.75
220,Saint-Joseph,68,RE,1592463157,64,-21.37,55.62,73.4,19.46
221,Sikasso,100,ML,1592463158,75,10.92,-7.0,77.22,7.49
222,Kapurthala Town,0,IN,1592463159,42,31.38,75.38,98.6,6.93
223,Vyshkov,5,RU,1592463159,53,52.48,31.69,77.0,6.71
224,Henties Bay,0,NA,1592463160,31,-22.12,14.28,74.88,25.9
225,Taltal,0,CL,1592463161,60,-25.4,-70.48,58.91,5.64
226,Alta Floresta,0,BR,1592463064,79,-9.88,-56.09,66.99,4.18
227,Dalvik,100,IS,1592463162,76,65.97,-18.53,48.2,6.93
228,Evensk,90,RU,1592463162,77,61.95,159.23,51.98,8.88
229,Tūkrah,0,LY,1592463162,43,32.53,20.58,78.71,12.33
230,Yerköy,0,TR,1592463162,52,39.64,34.47,72.61,3.94
231,Road Town,51,VG,1592463163,84,18.42,-64.62,81.0,11.01
232,Port Lincoln,29,AU,1592463047,52,-34.73,135.87,63.41,13.53
233,Ulladulla,20,AU,1592463163,58,-35.35,150.47,59.0,10.29
234,Bakel,100,SN,1592463164,47,14.9,-12.46,88.54,15.28
235,Laguna,1,US,1592463072,43,38.42,-121.42,72.0,3.36
236,Ambon City,40,ID,1592463165,88,-3.7,128.18,80.6,5.82
237,Poltavka,100,RU,1592463165,70,54.37,71.76,54.05,15.88
238,Bayan,0,CN,1592463165,39,46.08,127.4,75.0,9.51
239,San Patricio,83,MX,1592463166,65,19.22,-104.7,79.32,2.42
240,Río Gallegos,90,AR,1592463166,92,-51.62,-69.22,23.0,2.24
241,Yulara,0,AU,1592463166,16,-25.24,130.99,73.4,4.7
242,Saldanha,0,ZA,1592463103,47,-33.01,17.94,46.4,5.82
243,Constitución,100,CL,1592463167,87,-35.33,-72.42,53.55,14.88
244,Makakilo City,1,US,1592463155,61,21.35,-158.09,78.8,8.05
245,Harper,100,LR,1592463167,86,4.38,-7.72,76.86,9.6
246,Lincoln,1,US,1592463161,61,40.8,-96.67,78.8,19.46
247,Salalah,75,OM,1592463168,70,17.02,54.09,89.6,10.29
248,Cockburn Town,20,TC,1592463169,79,21.46,-71.14,81.81,17.38
249,Goya,100,AR,1592463169,68,-29.14,-59.26,72.9,8.3
250,Lompoc,0,US,1592463169,93,34.64,-120.46,53.6,3.71
251,Dzaoudzi,40,YT,1592463170,65,-12.79,45.27,80.6,23.04
252,Kasongo-Lunda,0,CD,1592463170,40,-6.47,16.82,71.37,3.2
253,West Bay,100,KY,1592463171,85,19.37,-81.42,82.0,1.01
254,Aplaya,100,PH,1592463171,83,8.61,124.77,79.0,13.0
255,Hasaki,75,JP,1592463171,83,35.73,140.83,77.0,8.05
256,Palmer,75,US,1592462939,100,42.16,-72.33,62.01,2.1
257,Shaunavon,100,CA,1592463116,90,49.65,-108.42,48.54,13.53
258,Caravelas,8,BR,1592463126,85,-17.71,-39.25,69.31,5.39
259,Bonnyville,90,CA,1592463172,71,54.27,-110.73,50.0,6.93
260,Bereda,78,ES,1592463173,100,43.27,-7.54,51.01,1.99
261,Pampa,1,US,1592463173,50,35.54,-100.96,78.8,23.04
262,Duartina,100,BR,1592463173,78,-22.41,-49.4,60.01,3.0
263,Kieta,15,PG,1592463173,79,-6.22,155.63,82.36,6.8
264,Toyooka,75,JP,1592463174,93,35.53,134.83,66.2,3.36
265,San Cristobal,39,VE,1592463174,91,7.77,-72.22,65.17,1.41
266,Ust-Tsilma,22,RU,1592463174,45,65.44,52.15,50.94,5.77
267,Port Blair,27,IN,1592463174,74,11.67,92.75,86.58,15.75
268,Amapá,43,BR,1592463175,98,1.0,-52.0,70.41,0.2
269,Visby,0,SE,1592463175,82,57.64,18.3,64.0,9.17
270,Smithers,90,CA,1592463175,62,54.78,-127.17,59.0,2.24
271,Mizdah,0,LY,1592463176,14,31.45,12.98,86.49,15.82
272,Pacific Grove,1,US,1592463176,28,36.62,-121.92,71.6,3.36
273,Dafeng,33,CN,1592463176,71,23.45,108.59,87.93,11.34
274,Bella Union,5,UY,1592463177,81,-30.28,-57.6,68.45,17.76
275,Kadoma,75,JP,1592463177,94,34.73,135.58,69.8,10.29
276,Las Choapas,91,MX,1592463178,92,17.93,-94.08,76.23,2.91
277,Hofn,25,IS,1592463117,79,64.25,-15.21,45.52,11.32
278,Borogontsy,77,RU,1592463178,24,62.67,131.17,81.73,6.04
279,Safi,6,MA,1592463179,79,32.3,-9.24,67.62,10.8
280,Baharly,0,TM,1592463179,11,38.44,57.43,91.54,13.8
281,Vardø,0,NO,1592463179,58,70.37,31.11,57.2,2.24
282,São Sebastião,0,BR,1592463108,77,-23.76,-45.41,65.55,5.21
283,Narsaq,82,GL,1592463180,86,60.92,-46.05,37.4,4.7
284,Tyrma,92,RU,1592463180,39,50.08,132.17,66.52,3.02
285,St. George's,20,GD,1592463181,83,12.06,-61.75,80.6,13.87
286,San Fernando del Valle de Catamarca,0,AR,1592463181,67,-28.47,-65.79,46.99,1.01
287,Yangi Marg`ilon,94,UZ,1592463181,22,40.43,71.72,78.8,9.17
288,Grandview,1,US,1592463181,69,38.89,-94.53,75.2,11.41
289,Paracuru,7,BR,1592463182,85,-3.41,-39.03,75.0,12.48
290,Nisibis,0,TR,1592463182,24,37.08,41.22,89.6,2.24
291,Yongzhou,100,CN,1592463182,56,26.46,111.6,93.15,11.54
292,Dudinka,76,RU,1592463125,39,69.41,86.18,50.0,4.47
293,Santa Cruz de la Sierra,20,BO,1592463105,83,-17.8,-63.17,73.4,14.99
294,Bonavista,100,CA,1592463183,77,48.65,-53.11,53.4,17.27
295,Omboué,90,GA,1592463184,86,-1.57,9.26,74.12,4.27
296,Petropavlovsk-Kamchatskiy,17,RU,1592463184,71,53.05,158.65,53.6,17.9
297,Vila Franca do Campo,75,PT,1592463185,77,37.72,-25.43,62.6,4.7
298,Ginir,20,ET,1592463185,70,7.13,40.7,67.26,8.12
299,Beringovskiy,1,RU,1592463185,56,63.05,179.32,51.26,5.19
300,Yeppoon,51,AU,1592463185,49,-23.13,150.73,73.4,14.99
301,Kyren,61,RU,1592463186,46,51.68,102.14,75.97,3.83
302,Alofi,27,NU,1592463186,73,-19.06,-169.92,71.6,8.05
303,Nynäshamn,20,SE,1592463187,77,58.9,17.95,68.0,3.36
304,Oranjemund,0,NA,1592463187,35,-28.55,16.43,63.99,23.76
305,Comodoro Rivadavia,100,AR,1592463147,65,-45.87,-67.5,46.4,5.82
306,Healdsburg,1,US,1592463188,45,38.61,-122.87,66.2,4.7
307,Upernavik,0,GL,1592463058,91,72.79,-56.15,33.01,6.44
308,Vaitape,96,PF,1592463189,76,-16.52,-151.75,82.06,3.24
309,Vidim,8,RU,1592463189,27,56.41,103.11,71.46,5.3
310,Oriximiná,71,BR,1592463189,90,-1.77,-55.87,74.73,1.16
311,Havre-St-Pierre,90,CA,1592463189,82,50.23,-63.6,55.4,4.7
312,Nioro,100,GM,1592463190,81,13.35,-15.75,78.3,7.85
313,Karasjok,58,NO,1592463184,48,69.47,25.51,60.8,8.05
314,Flinders,62,AU,1592463190,61,-34.58,150.86,63.0,1.99
315,Marsá Maţrūḩ,0,EG,1592463190,64,31.35,27.25,75.11,20.65
316,Grindavik,75,IS,1592463192,76,63.84,-22.43,48.2,21.92
317,Lensk,94,RU,1592463192,54,60.73,114.93,64.29,5.14
318,Halifax,0,CA,1592463037,83,44.65,-63.57,57.0,6.8
319,Vostok,100,RU,1592463193,93,46.49,135.88,54.7,2.95
320,Presidencia Roque Sáenz Peña,23,AR,1592463193,67,-26.79,-60.44,73.0,3.0
321,Esperance,40,AU,1592463193,55,-33.87,121.9,60.8,26.4
322,Faya,62,SA,1592463102,10,18.39,42.45,84.2,18.34
323,Severo-Kuril'sk,43,RU,1592463194,83,50.68,156.12,45.36,6.31
324,Esim,100,GH,1592463194,86,4.87,-2.24,77.11,11.45
325,Bijāwar,40,IN,1592463194,59,24.63,79.5,95.0,2.24
326,Marsh Harbour,100,BS,1592463195,80,26.54,-77.06,79.72,13.2
327,Dekar,0,BW,1592463195,68,-21.53,21.93,51.69,14.85
328,Necochea,100,AR,1592463195,99,-38.55,-58.74,55.0,8.99
329,Sept-Îles,75,CA,1592462998,82,50.2,-66.38,64.4,4.7
330,Muravlenko,100,RU,1592463172,49,63.79,74.52,49.93,14.72
331,Kangaatsiaq,2,GL,1592463197,91,68.31,-53.46,35.06,8.23
332,Ambilobe,0,MG,1592463197,35,-13.2,49.05,86.38,2.37
333,Novikovo,1,RU,1592463197,61,51.15,37.89,75.69,7.87
334,Gravelbourg,100,CA,1592463198,88,49.88,-106.55,49.3,13.62
335,Grudziądz,28,PL,1592463198,51,53.48,18.75,72.0,7.14
336,Coahuayana Viejo,57,MX,1592463199,76,18.73,-103.68,77.68,0.92
337,Skibbereen,75,IE,1592463199,87,51.55,-9.27,53.6,9.17
338,Ostrovnoy,80,RU,1592463200,59,68.05,39.51,56.08,10.8
339,Natal,2,BR,1592463200,100,-5.79,-35.21,69.8,4.7
340,Gijang,90,KR,1592463200,82,35.24,129.21,68.0,5.82
341,Cruzeiro do Sul,96,BR,1592463200,72,-29.51,-51.99,71.01,1.99
342,Mendi,100,PG,1592463201,99,-6.18,143.65,60.33,2.28
343,Vestmannaeyjar,40,IS,1592463201,81,63.44,-20.27,48.2,20.8
344,Itoman,75,JP,1592463201,79,26.12,127.67,89.6,13.87
345,Cascais,20,PT,1592463179,77,38.7,-9.42,64.99,12.75
346,Richards Bay,100,ZA,1592463202,88,-28.78,32.04,57.99,9.78
347,Tommot,100,RU,1592463202,44,58.96,126.29,75.87,4.34
348,Jalu,0,LY,1592463202,39,29.03,21.55,78.22,1.79
349,Stawell,35,AU,1592463202,78,-37.05,142.77,52.23,9.15
350,Saint-Augustin,100,CA,1592463203,87,51.23,-58.65,55.99,5.99
351,Altay,31,CN,1592463205,33,47.87,88.12,74.52,11.7
352,Whitehorse,75,CA,1592463126,58,60.72,-135.05,53.6,16.11
353,Bathsheba,40,BB,1592463206,78,13.22,-59.52,80.6,11.41
354,Santa Vitória do Palmar,100,BR,1592463206,72,-33.52,-53.37,69.53,20.47
355,Colorado Springs,1,US,1592462964,30,38.83,-104.82,71.6,18.34
356,Mahébourg,75,MU,1592463206,73,-20.41,57.7,73.4,17.22
357,Kahului,20,US,1592463006,65,20.89,-156.47,78.8,16.11
358,Vernon,40,CA,1592462982,76,50.26,-119.27,57.99,2.24
359,Mawlaik,94,MM,1592463207,78,23.63,94.42,87.12,3.2
360,Mahibadhoo,99,MV,1592463207,74,3.78,72.97,84.25,5.77
361,Quatre Cocos,75,MU,1592463144,73,-20.21,57.76,73.4,17.22
362,Stornoway,90,GB,1592463208,100,58.21,-6.39,55.99,2.24
363,Granada,0,ES,1592463208,59,37.25,-3.25,63.0,0.85
364,Moose Factory,1,CA,1592463209,44,51.26,-80.61,75.2,17.22
365,Santiago del Estero,0,AR,1592462938,35,-27.8,-64.26,62.22,14.27
366,Takoradze,100,GH,1592463209,86,4.88,-1.76,77.02,10.98
367,Butembo,1,CD,1592463210,72,0.15,29.28,67.53,1.68
368,Dongkan,100,CN,1592463210,88,34.0,119.83,67.71,12.44
369,Touros,21,BR,1592463210,100,-5.2,-35.46,69.8,4.7
370,Labuan,75,MY,1592463210,79,5.28,115.24,87.8,10.29
371,Bengkulu,51,ID,1592462946,68,-3.8,102.27,85.21,6.44
372,Cabo San Lucas,32,MX,1592463211,38,22.89,-109.91,84.0,13.09
